"operational_day","estimated_avoidable_deaths","SWASFT_(SWASFT) Number of HCP Incidents","SevernSide_(Severnside) Calls Answered","BRI_Number of Admissions","NBT_Number of Admissions","WGH_Number of Admissions","Sirona - Bristol_DtA P1 TOTAL (BOOKED AND UNBOOKED) Waiting for capacity and medically fit, and in any setting (acute and non-acute)","Sirona - NS_DtA P1 TOTAL (BOOKED AND UNBOOKED) Waiting for capacity and medically fit, and in any setting (acute and non-acute)","Sirona - SG_DtA P1 TOTAL (BOOKED AND UNBOOKED) Waiting for capacity and medically fit, and in any setting (acute and non-acute)","Sirona - NS_DtA P2 TOTAL BOOKED AND UN-BOOKED Waiting for capacity, medically fit and ready to leave ACUTE","Sirona - SG_DtA P2 TOTAL BOOKED AND UN-BOOKED Waiting for capacity, medically fit and ready to leave ACUTE","Sirona - Bristol_DtA P3 TOTAL (BOOKED AND UNBOOKED) Waiting for capacity and medically fit and in any setting (acute and transitional bed)","Sirona - NS_DtA P3 TOTAL (BOOKED AND UNBOOKED) Waiting for capacity and medically fit and in any setting (acute and transitional bed)","Sirona - SG_DtA P3 TOTAL (BOOKED AND UNBOOKED) Waiting for capacity and medically fit and in any setting (acute and transitional bed)","BRI_G&A Bed occupancy","NBT_G&A Bed occupancy","WGH_G&A Bed occupancy","North Bristol NHS Trust_Ambulance Queue","Bristol Royal Infirmary_Cohorting & Reverse Queue","North Bristol NHS Trust_Cohorting & Reverse Queue","Bristol Royal Hospital for Children_Total Breaches Since Midnight","Bristol Royal Infirmary_Total Breaches Since Midnight","North Bristol NHS Trust_Total Breaches Since Midnight","Weston_Total Breaches Since Midnight","Bristol Royal Infirmary_Ambulance Queue","Weston_Cohorting & Reverse Queue","Bristol Royal Hospital for Children_Ambulance Handovers 60mins (Since Midnight)","Bristol Royal Infirmary_Ambulance Handovers 60mins (Since Midnight)","Weston_Ambulance Handovers 60mins (Since Midnight)","Bristol Royal Hospital for Children_Handover to Clear 60mins (Since Midnight)","Bristol Royal Infirmary_Handover to Clear 60mins (Since Midnight)","Weston_Handover to Clear 60mins (Since Midnight)","NHS Bristol, North Somerset, South Gloucestershire Integrated Care Board_OPEL","North Bristol NHS Trust_Ambulance Handovers 60mins (Since Midnight)","NHS Bristol, North Somerset, South Gloucestershire Integrated Care Board_Category 1 - BNSSG Mean Response (Since Midnight)","NHS Bristol, North Somerset, South Gloucestershire Integrated Care Board_Category 2 - BNSSG Mean Response (Since Midnight)","NHS Bristol, North Somerset, South Gloucestershire Integrated Care Board_Category 3 - BNSSG Mean Response (Since Midnight)","North Bristol NHS Trust_Handover to Clear 60mins (Since Midnight)","BNSSG Adult Health Community Services_OPEL","Bristol Royal Infirmary_OPEL","North Bristol NHS Trust_OPEL","SevernSide Integrated Urgent Care System_OPEL","Weston_OPEL","NHS Bristol, North Somerset, South Gloucestershire Integrated Care Board_Category 4 - BNSSG Mean Response (Since Midnight)","SevernSide Integrated Urgent Care System_Number of Cases on IUC CAS Queue","Sirona - Total_NBT NCtR >= 65 years old","Sirona - Total_NBT NCtR Beddays","Sirona - Total_NBT NCtR Patients","Sirona - Total_NBT P1 NCtR Patients","Sirona - Total_NBT P2 NCtR Patients","Sirona - Total_NBT P3 NCtR Patients","Bristol Royal Infirmary_% of patients spending >12 hours in ED","Weston_% of patients spending >12 hours in ED","Bristol Royal Infirmary_Aggregated NHSE OPEL Score","Weston_Aggregated NHSE OPEL Score","Bristol Royal Infirmary_Automated OPEL","Weston_Automated OPEL","Bristol Royal Infirmary_Majors and resuscitation occupancy (adult)","Weston_Majors and resuscitation occupancy (adult)","ICU_admissions"
2023-03-16,0.343926569313021,30,657,211,196,47,51,7,27,26,20,45,9,6,612,861,273,1.375,4.56,0,2.77777777777778,9.88888888888889,12,3.92857142857143,3.71428571428571,2.5,0.297619047619048,16.0476190476191,0,0,1.26190476190476,0,1,3.84126984126984,469.608108108108,1387.32432432432,3318.60294117647,0,4,3,4,1,4,2603.734375,30,216,4022,249,40,31,49,14,45,30,24,3,3,67,50,0
2023-03-17,0.481654004363922,54,688,206,178,67,55,14,30,26,24,46,11,6,626,848,278,1.375,4.56,0,2.77777777777778,9.88888888888889,12,3.92857142857143,3.71428571428571,2.5,0.297619047619048,16.0476190476191,0,0,1.26190476190476,0,1,3.84126984126984,469.608108108108,1387.32432432432,3318.60294117647,0,4,3,4,1,4,2603.734375,30,216,4022,249,40,31,49,14,45,30,24,3,3,67,50,0
2023-03-18,0.566728406350219,19,1190,138,107,69,58,11,34,27,22,52,12,6,641,855,271,1.72222222222222,4.41304347826087,1.75555555555555,14.0422535211268,12.1029411764706,29.8222222222222,11.9705882352941,3.71428571428571,2.5,0.297619047619048,16.0476190476191,0,0,1.26190476190476,0,1,3.84126984126984,469.608108108108,1387.32432432432,3318.60294117647,0,4,3,4,1,4,2603.734375,30,216,4022,249,40,31,49,14,45,30,24,3,3,67,50,0
2023-03-19,0.497218331783573,23,965,124,91,38,57,4,32,26,23,50,12,6,640,880,282,0.947916666666666,5.81111111111111,1.17708333333333,7.25373134328358,16.4202898550725,30.0520833333333,16.3947368421053,1.82926829268293,2.5,0.297619047619048,16.0476190476191,0,0,1.26190476190476,0,1,3.84126984126984,469.608108108108,1387.32432432432,3318.60294117647,0,4,3,4,1,4,2603.734375,30,216,4022,249,40,31,49,14,45,30,24,3,3,67,50,0
2023-03-20,0.833433300654605,29,733,205,183,27,60,8,28,28,18,59,12,6,699,878,281,1.45263157894737,5.37234042553191,0.536842105263158,5.04166666666667,27.7571428571428,28.5894736842105,7.925,1.75675675675676,2.5,0.297619047619048,16.0476190476191,0,0,1.26190476190476,0,1,3.84126984126984,469.608108108108,1387.32432432432,3318.60294117647,0,4,3,4,1,4,2603.734375,30,216,4022,249,40,31,49,14,45,30,24,3,3,67,50,0
2023-03-21,1.12246116203417,58,700,203,171,70,57,1,28,24,13,50,13,5,684,872,281,1.12631578947368,7.76923076923077,2.26315789473684,5.40909090909091,15.3939393939394,25.6631578947368,10.2222222222222,4.13186813186813,2.36206896551724,0.297619047619048,16.0476190476191,0,0,1.26190476190476,0,1,3.84126984126984,469.608108108108,1387.32432432432,3318.60294117647,0,4,3,4,1,4,2603.734375,30,216,4022,249,40,31,49,14,45,30,24,3,3,67,50,2000
2023-03-22,1.10378954026298,51,670,214,188,66,69,4,28,24,15,59,14,4,670,879,277,1.8421052631579,6.35632183908046,4.28421052631579,8.37142857142857,23.2941176470588,19.5578947368421,16.5641025641026,2.67441860465116,4.08219178082192,0.297619047619048,16.0476190476191,0,0,1.26190476190476,0,1,3.84126984126984,469.608108108108,1387.32432432432,3318.60294117647,0,4,3,4,1,4,2603.734375,30,216,4022,249,40,31,49,14,45,30,24,3,3,67,50,2000
2023-03-23,0.977485653165198,51,668,200,203,72,77,10,32,23,15,61,14,6,671,864,284,2.47826086956522,3.72727272727273,3.78260869565217,4.375,18.7090909090909,28.3260869565217,15.7058823529412,3.13031275060144,4.71929824561404,0.634408602150538,1.52688172043011,0.774193548387097,0,0.473118279569893,0,1,3.84126984126984,469.608108108108,1387.32432432432,3318.60294117647,0,4,3,4,1,4,2603.734375,30,216,4022,249,40,31,49,14,45,30,24,3,3,67,50,2000
2023-03-24,1.50563020102176,40,745,202,181,40,72,25,26,28,16,67,14,7,653,853,284,1.38541666666667,5.0752688172043,4.59375,5.47222222222222,11.1232876712329,22.5833333333333,12.4054054054054,3.58620689655172,5.02666666666667,0.302083333333333,7.73958333333333,3.82291666666667,0,0,0,1,3.84126984126984,469.608108108108,1387.32432432432,3318.60294117647,0,4,3,4,1,4,2603.734375,30,216,4022,249,40,31,49,14,45,30,24,3,3,67,50,2000
2023-03-25,0.542098686877499,22,1265,128,129.5,71,68,20,32,30,19,60,14,8,652,854,278,2.1875,4.34831460674157,1.51041666666667,10.4507042253521,22.5,19.7083333333333,10.3333333333333,1.91891891891892,5.28333333333333,0,13.5104166666667,1.29166666666667,0,0,0,1,3.84126984126984,469.608108108108,1387.32432432432,3318.60294117647,0,4,3,4,1,4,2603.734375,30,216,4022,249,40,31,49,14,45,30,24,3,3,67,50,2000
2023-03-26,0.56164722414966,23,1116,114,78,29,61,14,28,32,19,60,12,7,670,855,283,0.65625,3.21978021978022,0.03125,7.84507042253521,17.2876712328767,25.53125,12.3666666666667,3.42857142857143,2.52083333333333,0.0104166666666667,2.91666666666666,0.59375,0.4375,0.104166666666667,0,1,3.84126984126984,469.608108108108,1387.32432432432,3318.60294117647,0,4,3,4,1,4,2603.734375,30,216,4022,249,40,31,49,14,45,30,24,3,3,67,50,2000
2023-03-27,0.677832478575715,60,820,219,195,29,52,11,19,31,19,58,5,7,677,855,284,2.20253164556962,3.80555555555555,0.189873417721519,11.6491228070175,34.3888888888889,21.4050632911392,12.0789473684211,3.67741935483871,3.4,0.572916666666667,11.34375,0.59375,0.447916666666666,0.364583333333333,0,1,3.84126984126984,469.608108108108,1387.32432432432,3318.60294117647,0,4,3,4,1,4,2603.734375,30,216,4022,249,40,31,49,14,45,30,24,3,3,67,50,2000
2023-03-28,1.20706154516697,59,772,211,181,70,63,3,21,31,13,55,5,8,669,891,284,0.894736842105263,6.81052631578947,2.05263157894737,13.4852941176471,31.1666666666667,31.3789473684211,12.2,3.53061224489796,4.61052631578947,1.11458333333333,15.6458333333333,3.01041666666667,0,0,0.0833333333333334,1,3.84126984126984,469.608108108108,1387.32432432432,3318.60294117647,0,4,3,4,1,4,2603.734375,30,216,4022,249,40,31,49,14,45,30,24,3,3,67,50,2000
2023-03-29,0.838945663879706,59,725,206,214,77,63,6,25,30,17,53,12,9,666,884,284,0.926315789473685,5.74444444444444,2.38947368421053,4.48571428571429,12.6666666666667,21.5473684210526,10.9069767441861,1.93103448275862,3.74418604651163,0.436170212765957,6.78723404255319,1.40425531914894,0,0.297872340425532,0,4,3.84126984126984,469.608108108108,1387.32432432432,3318.60294117647,0,4,3,4,1,4,2603.734375,30,216,4022,249,40,31,49,14,45,30,24,3,3,67,50,2000
2023-03-30,0.832692117598151,47,688,173,199,72,59,6,27,24,15,51,10,9,663,881,282,0.5625,7.55172413793104,0.177083333333333,7.87692307692308,17.7014925373134,20.1875,16.1714285714286,4.275,3.90804597701149,0,6.4375,1.73958333333333,0,0.479166666666667,0,4,2.67708333333333,449.945054945055,1898.5376344086,2981.43037974684,0,4,3,3,2,4,2603.734375,30,216,4022,249,40,31,49,14,45,30,24,3,3,67,50,2000
2023-03-31,0.82870634336995,44,543,193,201,57,57,13,22,21,17,46,5,10,648,901,276,1.33333333333333,5.08695652173913,0.854166666666667,8.85074626865672,17.5352112676056,18.7395833333333,10.65,1.31818181818182,4.59782608695652,0,2.78125,1.52083333333333,0,0.90625,0,4,1.375,512.536842105263,1850,3045.51086956522,0,4,3,3,2,4,2603.734375,30,216,4022,249,40,31,49,14,45,30,24,3,3,67,50,2000
